s01.adv:1214	碰上这种事，谁都会害怕。
s01.adv:1523	接下来是要去狭稻温泉乡吧！
s01.adv:1525	不是吧！他连这个都听到了？
s01.adv:1526	刚才究竟躲在哪儿啊！？
s01.adv:1529	哇哈哈，果然如此！
s01.adv:1530	那么，别忘了买那个[bw]生大福[/bw]，
s01.adv:1531	带回来当伴手礼哦！
s01.adv:1533	啊！对了，老师！
s01.adv:1534	把我的生大福还给我！！
s01.adv:1536	那就拜托你啦！！
s01.adv:1541	啊哟——————！！！
s01.adv:1543	啊……！
s01.adv:1544	他摆出短跑选手般的标准姿势，
s01.adv:1545	全速跑走了……
s01.adv:1546	也太快了……
s01.adv:1551	真是……不得了啊。
s01.adv:1552	就像一阵暴风雨刮过去了。
s01.adv:1554	那家伙到底想说什么？
s01.adv:1557	大概就是……
s01.adv:1558	还想多吃点生大福吧。
s01.adv:1568	……哎呀！都这个时间了！
s01.adv:1569	不好意思，我差不多
s01.adv:1570	该走了！
s01.adv:1573	好，调查的事就交给我，
s01.adv:1574	你好好去放松一下吧。
s01.adv:1576	这份恩情我记下了！
s01.adv:1579	啊，报酬就用那个生大福好了。
s01.adv:1581	啊，嗯，也是，果然会这样啊。
s01.adv:1582	一般来说，这报酬已经够便宜了。
s01.adv:1583	我、我尽量！
s01.adv:1584	……啊，还有这个。
s01.adv:1585	这是我家的[bw]备用钥匙[/bw]，
s01.adv:1586	先交给你。
s01.adv:1587	你可以随意进屋，
s01.adv:1588	不过里面也没什么东西。
s01.adv:1591	好，钥匙我收下了。
s01.adv:1593	那就拜托你了。
s01.adv:1595	啊，旅行途中，
s01.adv:1596	如果发现身边有什么异常，
s01.adv:1597	请立刻联系我。
s01.adv:1598	……当然，最好是
s01.adv:1599	什么都别发生。
s01.adv:1601	我知道了！
s01.adv:1602	那我出发啦！
s01.adv:1608	一路顺风——
s01.adv:1611	……要查找遭到跟踪骚扰的痕迹啊。
s01.adv:1612	听起来挺麻烦的。
s01.adv:1617	咦？你怎么说得像事不关己一样。
s01.adv:1618	[生王]先生，你也要去啊。
s01.adv:1620	不不不，这可不行。
s01.adv:1621	调查女性的房间，
s01.adv:1622	我这样的绅士怎么做得出来呢。
s01.adv:1625	放心吧。
s01.adv:1626	不方便的地方，由我来查就好。
s01.adv:1628	不，就算这样……
s01.adv:1629	你看，是吧？
s01.adv:1632	那报酬里的生大福，你也不要了吧。
s01.adv:1634	啊，不，那个……
s01.adv:1635	我当然也想尝尝。
s01.adv:1638	那我们马上出发吧。
s01.adv:1639	矢口小姐的公寓，
s01.adv:1640	就在隔壁的[bw]品方市[/bw]。
s01.adv:1642	啊，好吧。
s01.adv:1643	唉……到头来还是变成这样了。
s01.adv:1666	那么，出发去调查吧！
s01.adv:1678	矢口小姐住的公寓，
s01.adv:1679	叫[bw]利布里南品方[/bw]，
s01.adv:1680	就在品方市。
