s05.adv:73	晚点十八分钟才从柄名山脚下出发的
s05.adv:450	像这样的高级旅馆，
s05.adv:451	是不是格外艰难呢？听我这么问，
s05.adv:452	她依旧微笑着回答：
s05.adv:455	是的，确实如此。
s05.adv:456	其实，我接手的时候，
s05.adv:457	这里已经濒临倒闭了。
s05.adv:458	即使如此，我还是反复思考，
s05.adv:459	最后决定顺应时代，
s05.adv:460	大胆地将整座旅馆重新改建。
s05.adv:461	同时，我还调整了定价，
s05.adv:462	努力提升服务质量，
s05.adv:463	自己也拼了命地工作。
s05.adv:467	我知道旅馆三年前全面翻新之后，
s05.adv:468	一下子火了起来，
s05.adv:469	看来都是她努力的成果。
s05.adv:470	可不知是不是她性格的缘故，
s05.adv:471	这些话听起来既不像炫耀，
s05.adv:472	也不像在诉苦。
s05.adv:473	然而，她以自信为支撑的沉稳，
s05.adv:474	又真切地让人感受到，
s05.adv:475	她一定经历过不少艰辛。
s05.adv:476	她一定打从心底热爱这间旅馆，
s05.adv:477	满心只想着，
s05.adv:478	让客人得到最好的招待……真了不起。
s05.adv:479	同样年纪的女性，
s05.adv:480	竟然已经做到了这种程度，
s05.adv:481	我由衷佩服，也深受触动。
s05.adv:485	啊，不过，一心扑在工作上，
s05.adv:486	连找个丈夫的余裕都没有，
s05.adv:487	这倒是件头疼的事。
s05.adv:490	我觉得，她的魅力正在于，
s05.adv:491	能自然地把这种话穿插进交谈，
s05.adv:492	丝毫不让自己显得高高在上。
s05.adv:493	或者说，先不管那些，
s05.adv:494	我本来也不讨厌这种话题。
s05.adv:495	要不要再深入问问呢……
s05.adv:504	我向她确认了一下，
s05.adv:505	这个房间里的[bw]机关[/bw]。
s05.adv:508	……是的，您真了解！
s05.adv:509	没错，就是这个房间。
s05.adv:510	也有客人会觉得不安，
s05.adv:511	不过，我们一直都在检查安全状况，
s05.adv:512	您有兴趣的话，一会儿可以看看。
s05.adv:513	只要[bw]从那扇窗往外看[/bw]，
s05.adv:514	应该就明白了。
s05.adv:517	果然，这是神名备亭，
s05.adv:518	翻新之后的一大特色。
s05.adv:519	一会儿去窗边确认一下吧。
s05.adv:524	只要从那扇窗往外看，
s05.adv:525	应该就明白了。
s05.adv:534	其实，还有继承人的问题，
s05.adv:535	我也不能一直慢悠悠地等下去，
s05.adv:536	可这种事……我实在不擅长。
s05.adv:539	不过，她这么漂亮，又这么能干，
s05.adv:540	事业也做得有声有色，
s05.adv:541	反而会让人望而却步吧。
s05.adv:542	这么说有点失礼，可就算我是男人，
s05.adv:543	大概也会立刻打退堂鼓。
s05.adv:544	……实在太不般配了。
s05.adv:556	所谓老板娘这份工作，
s05.adv:557	说起来，就像现场总管一样。
s05.adv:558	是负责指挥全局的人。
s05.adv:561	我向她请教起老板娘的工作，
s05.adv:562	以及她对服务行业，
s05.adv:563	究竟有什么看法。
s05.adv:566	这个嘛……
s05.adv:567	虽然没有什么，
s05.adv:568	绝对正确的答案……
s05.adv:569	首先，要尽量多和客人接触，
s05.adv:570	牢牢记住每个人的脸和名字。
s05.adv:571	还要细心体察客人的情况，
s05.adv:572	避免说出不该说的话，
s05.adv:573	并尽量提供贴心的服务。
s05.adv:574	她还会在交谈中了解客人的喜好，
s05.adv:575	随时向各处下达指示，确保服务周到。
s05.adv:576	听我赞叹，她又透露：“其实我会悄悄记笔记呢。”
