s02.adv:650	发动袭击，也有这种可能。
s02.adv:775	你就这么在意？
s02.adv:777	没有，不是那个意思……
s02.adv:778	是吗，没问题啊！太好了！
s02.adv:791	说到窃听，
s02.adv:792	最可疑的果然还是电话……
s02.adv:794	是啊，我看看……
s02.adv:795	啊，这是……！？
s02.adv:797	嗯？怎么了！？
s02.adv:801	这可不只是留言电话和传真机，
s02.adv:802	还带复印、打印功能，
s02.adv:803	是台多功能一体机啊！
s02.adv:805	什么嘛，就这事啊。
s02.adv:806	不过，她用的东西还真不错……
s02.adv:809	应该是工作用的吧，
s02.adv:810	看起来既省空间又方便。
s02.adv:811	我也想要一台……
s02.adv:813	那间事务所，首先得把电话线路，
s02.adv:814	换成能用按键电话的，
s02.adv:815	再说别的吧……
s02.adv:818	我又不是因为喜欢，
s02.adv:819	才用那种黑色老式电话的！
s02.adv:820	顺便说一句，
s02.adv:821	这里没有被装窃听器！
s02.adv:822	电话应该没问题！
s02.adv:824	不用这么生气吧……
s02.adv:833	啊，电话旁边，
s02.adv:834	还放着一本[bw]便笺[/bw]。
s02.adv:836	哦，上面写了什么？
s02.adv:838	嗯，最上面那张写着……
s02.adv:840	[bw]“12:00在狭稻温泉的[神名備]亭集合”[/bw][pp]
s02.adv:842	……应该是这次旅行的备忘。
s02.adv:844	什么嘛，就这个啊。
s02.adv:847	这是她自己写的便笺，
s02.adv:848	你还指望看到什么？
s02.adv:850	呃……
s02.adv:853	不过，如果她是在电话里，
s02.adv:854	和别人商量这次旅行的安排……
s02.adv:855	而那段对话又被窃听了，
s02.adv:856	她今天的去向就全暴露了。
s02.adv:858	啊。今天家里没人，
s02.adv:859	还有她去了[神名備]亭，
s02.adv:860	这些都可能被对方知道了啊。
s02.adv:862	但愿对方不会利用这些信息，
s02.adv:863	做出什么事来……
s02.adv:872	……嗯？转到语音留言了，
s02.adv:873	可对方什么也没说。
s02.adv:875	好像是传真。
s02.adv:876	正在接收呢。
s02.adv:878	啊，原来如此。
s02.adv:879	她确实说过，出版业，
s02.adv:880	还很依赖这些老办法啊。
s02.adv:883	……咦？
s02.adv:884	糟了……！
s02.adv:886	怎么了？
s02.adv:890	你看，
s02.adv:891	这是刚收到的传真。
s02.adv:900	[Font color="0x99ffCC" edge_color="0x666699"]蹩脚侦探们，辛苦啦。
s02.adv:901	不过，我早就知道，
s02.adv:902	小床子去了狭稻温泉哦。
s02.adv:903	我已经快到那儿了，
s02.adv:904	你们就乖乖待在那里吧♪[/Font][pp_j]
s02.adv:913	这……明摆着是
s02.adv:914	写给我们的留言啊！
s02.adv:915	果然已经暴露了……！！
s02.adv:917	是啊，不能再耽搁了！
s02.adv:918	犯人已经开始行动。
s02.adv:919	矢口小姐有危险！
s02.adv:925	没发现什么可疑之处。
s02.adv:926	这里应该没问题。
s02.adv:935	大门上有两个锁孔，
s02.adv:936	用的是双重门锁。
s02.adv:937	钥匙的构造也很复杂，
s02.adv:938	我想对方应该不是
s02.adv:939	撬锁进来的。
s02.adv:942	那插线板里的窃听器，
s02.adv:943	就不是对方擅自闯进屋，
s02.adv:944	安装上去的了？
s02.adv:946	是啊。
s02.adv:947	通过其他方法装进去的可能性，
s02.adv:948	应该更大。
s02.adv:951	嗯，看来对方还没
s02.adv:952	闯进她家里啊。
s02.adv:953	那是不是就不用担心房间里，
s02.adv:954	藏着窃听器或者偷拍摄像头了？
s02.adv:956	这个……可不好说。
s02.adv:958	咦？
s02.adv:965	没有发现
s02.adv:966	撬锁的痕迹。
s02.adv:979	总之，把可疑的地方，
s02.adv:980	一个个都查一遍吧！
s02.adv:988	至少得告诉矢口小姐，
s02.adv:989	我们在她房间里，
s02.adv:990	发现了窃听器。
s02.adv:992	是啊。
s02.adv:993	她一定会吓一跳吧……
s02.adv:994	最好还能把犯人抓住。
s02.adv:996	请矢口小姐也来配合，
s02.adv:997	我们一定要查出真相！
s02.adv:998	好了，再看看其他地方！
s02.adv:1006	哇！
s02.adv:1007	……什么嘛，是电话啊。
s02.adv:1009	我们也不好替她接。
s02.adv:1010	就别管了吧。
s02.adv:1012	话是这么说。
s02.adv:1013	可总觉得有点在意……
s02.adv:1039	好，我给矢口小姐打电话！
s02.adv:1041	好，拜托你了！
s02.adv:1042	我直接打给[神名備]亭。
s02.adv:1048	……可恶，不行。
s02.adv:1049	好像没有信号，打不通。
s02.adv:1050	[伊綱]，你那边接通了吗？
s02.adv:1055	……不行。
s02.adv:1056	我给旅馆总机打了好几次，
s02.adv:1057	都[bw]没人接[/bw]。
s02.adv:1059	旅馆的电话居然没人接……
s02.adv:1060	这是怎么回事？
s02.adv:1062	说不定，
s02.adv:1063	已经发生什么事了。
s02.adv:1065	怎么会……
s02.adv:1067	我们赶紧过去吧！
s02.adv:1076	对讲门铃……？
s02.adv:1077	有人来了？
s02.adv:1078	偏偏在这种时候……
s02.adv:1082	你好，我们是[bw]警察[/bw]！！
s02.adv:1083	里面有人吗！？
s02.adv:1085	警、警察……！？
s02.adv:1089	啊，原来是这一招……
s02.adv:1092	我们接到报案，
s02.adv:1093	说有可疑人员闯入这里！
s02.adv:1094	我们知道里面有人！！
s02.adv:1097	[伊綱]，这是……
s02.adv:1099	被摆了一道啊。
s02.adv:1100	犯人知道我们在这里，
s02.adv:1101	为了拖住我们，特意报了警吧。
s02.adv:1103	可是，警察怎么会
s02.adv:1104	来得这么快……
s02.adv:1108	矢口小姐之前找警察咨询过，
s02.adv:1109	现在反而起了反作用。
s02.adv:1110	这让报案显得更可信了。
s02.adv:1111	当然，我们有屋主的许可，
s02.adv:1112	没做什么亏心事……
s02.adv:1113	可一旦接受问话，
s02.adv:1114	再算上核实情况的时间，
s02.adv:1115	恐怕得被留住好一阵子。
s02.adv:1118	这、这样啊……
s02.adv:1120	也不能就这么逃走。
s02.adv:1121	还是认命吧。
s02.adv:1122	……虽然真的很不甘心。
s02.adv:1124	可恶，感觉彻底，
s02.adv:1125	被对方耍了啊……
s02.adv:1130	是啊……
s02.adv:1131	…………嗯？咦？
