s02.adv:85	这里就是[bw]利布里南品方[/bw]了。
s02.adv:247	你看，又来了！
s02.adv:249	呜……
s02.adv:261	那么，我们在这附近，
s02.adv:262	向人打听一下吧。
s02.adv:263	分头行动。
s02.adv:265	是、是吗，分头啊。
s02.adv:266	说得也是。好、好吧。
s02.adv:273	唔……
s02.adv:274	没打听到什么
s02.adv:275	有用的消息啊……
s02.adv:279	[生王]先生，
s02.adv:280	我从一位在附近散步的人那里，
s02.adv:281	听到了件值得注意的事！
s02.adv:283	哦，不愧是你。
s02.adv:284	什么事？
s02.adv:286	最近，这栋公寓后面的街上，
s02.adv:287	经常停着一辆
s02.adv:288	以前没见过的汽车。
s02.adv:290	原来如此，确实有点可疑。
s02.adv:291	是什么车？
s02.adv:293	一辆[bw]黄色厢式车[/bw]，
s02.adv:294	后面的车窗贴了深色膜，
s02.adv:295	看不见车里的情况。
s02.adv:297	黄色厢式车啊……
s02.adv:298	感觉本身就挺显眼的。
s02.adv:301	总之，先记下来吧。
s02.adv:306	除了那辆黄色厢式车，
s02.adv:307	没打听到什么
s02.adv:308	有用的消息。
s02.adv:344	这就是她的房间了。
s02.adv:346	打扰了。
s02.adv:347	……结果，我还是进来了。
s02.adv:348	嗯，屋里收拾得很整齐，
s02.adv:349	应该不要紧吧，大概。
s02.adv:352	屋里的东西，
s02.adv:353	全部由我来检查！
s02.adv:354	你绝对不准乱碰哦！
s02.adv:356	真严格啊。
s02.adv:357	不过，这样我也安心些。
s02.adv:358	那么，窃听器和偷拍摄像头啊……
s02.adv:359	如果有，会藏在哪儿呢？
s02.adv:387	喂，你在干什么！？
s02.adv:388	先别管那个了，
s02.adv:389	赶紧联系矢口小姐吧！
s02.adv:398	这是一间采光很好的单间公寓。
s02.adv:399	房间收拾得井井有条，
s02.adv:400	看得出她的单身生活过得很充实。
s02.adv:401	大致扫一眼，能看到的东西有：
s02.adv:402	[bw]桌子[/bw]、[bw]电脑[/bw]、[bw]书架[/bw]、[bw]液晶电视[/bw]，
s02.adv:403	[bw]梳妆台[/bw]、[bw]床[/bw]、[bw]电话[/bw]……
s02.adv:404	还有身后的[bw]房门[/bw]。
s02.adv:405	眼下值得检查的，
s02.adv:406	大概就是这些了。
s02.adv:411	不过，独居女性的房间，
s02.adv:412	怎么说呢……就连空气里的气味，
s02.adv:413	都让人觉得格外新鲜……
s02.adv:417	……[生王]先生？
s02.adv:418	你是不是在想什么奇怪的事？
s02.adv:444	桌子收拾得很干净。
s02.adv:445	我也检查了桌子下面，
s02.adv:446	没有被人安装什么东西。
s02.adv:448	不管房间有多乱，
s02.adv:449	只要把桌面收拾干净，
s02.adv:450	整个房间看起来就会整洁不少呢。
s02.adv:452	……嗯？你在说什么？
s02.adv:454	啊，没什么，一点小知识……
s02.adv:456	那个，能不能稍微看看场合再说话。
s02.adv:458	是……
s02.adv:467	电脑没问题吗？
s02.adv:468	最近不是有间谍软件之类的病毒吗，
s02.adv:469	会不会也有这种可能？
s02.adv:470	偷看邮件或者输入的内容，
s02.adv:471	也算是一种窃听吧。
s02.adv:473	是啊。
s02.adv:474	也有可能，屏幕上显示的一切，
s02.adv:475	都被别人看得一清二楚。
s02.adv:477	从某种意义上说，比偷拍还可怕呢。
s02.adv:479	……不过，我们毕竟不能
s02.adv:480	擅自启动她的电脑，
s02.adv:481	所以也无从检查。
s02.adv:483	看来，只能提醒她，
s02.adv:484	好好做好电脑的防病毒措施了。
s02.adv:486	啊，电脑周围我也检查过了，
s02.adv:487	没发现异常。
s02.adv:489	也没有反其道而行之，
s02.adv:490	直接在电脑外面装窃听器啊。
s02.adv:499	书架怎么样？
s02.adv:500	看起来东西挺杂的，
s02.adv:501	要藏的话，那里倒挺合适。
s02.adv:503	啊，不过这里的书，
s02.adv:504	好像也没有很多。
s02.adv:506	矢口小姐是不是
s02.adv:507	不太看书？
s02.adv:509	似乎是呢……
s02.adv:510	比起消遣读物，这里更多的是资料，
s02.adv:511	还有资讯类的书……[ll]啊，这个。
s02.adv:513	嗯？
s02.adv:517	我找到了狭稻温泉乡那家旅馆，
s02.adv:518	[bw]“[神名備]亭”[/bw]的宣传册。
s02.adv:520	啊，就是矢口小姐今天要去的，
s02.adv:521	那家高级旅馆？
s02.adv:522	……哇，这也太厉害了吧。
s02.adv:525	旅馆位于[柄名山]半山腰，
s02.adv:526	建在陡峭的悬崖之上，
s02.adv:527	据说能将山海美景尽收眼底……
s02.adv:528	似乎必须乘坐[bw]专用缆车[/bw]，
s02.adv:529	才能抵达
s02.adv:530	旅馆所在的地方。
s02.adv:532	专用缆车啊，真厉害。
s02.adv:533	她说这次下了血本，
s02.adv:534	看起来确实不便宜……
s02.adv:537	建筑在[bw]五年前翻新[/bw]过，
s02.adv:538	内部装修整洁，又恰到好处地
s02.adv:539	保留了老屋的韵味，氛围很好。
s02.adv:540	还有天然温泉，料理也很丰盛。
s02.adv:541	在这样的美景中悠闲度日……
s02.adv:542	真想去住住看啊。
s02.adv:543	……啊，顺便说一下，
s02.adv:544	书架周围我也检查过了，
s02.adv:545	没有发现异常。
s02.adv:547	你还真没忘了正事啊。
s02.adv:562	这就是矢口小姐提起过，
s02.adv:563	那台让她很得意的液晶电视啊……
s02.adv:565	她说过这个吗？
s02.adv:567	嗯，说是刚买的最新款，
s02.adv:568	还有数字电视啦，五年后，
s02.adv:569	模拟电视停播啦……之类的。
s02.adv:571	刚买的……？
s02.adv:572	难道说……
s02.adv:574	嗯？
s02.adv:578	啊，看来没问题。
s02.adv:579	没有发现异常。
s02.adv:581	啊，原来没事。
s02.adv:583	……好，这样就行了。
s02.adv:588	……好了，[生王]先生，找到了。
s02.adv:589	矢口小姐怀疑自己被跟踪，
s02.adv:590	看来并不是她想多了！
s02.adv:592	咦？
s02.adv:593	什么意思？
s02.adv:595	电视后面的插线板里，
s02.adv:596	被人装了[bw]窃听器[/bw]。[pp_j]
s02.adv:598	什么！？
s02.adv:599	可你刚才不是说，没发现什么……
s02.adv:602	你在说什么呀。
s02.adv:603	那可是窃听器啊。
s02.adv:605	啊，是这样啊。
s02.adv:606	也就是说……
s02.adv:616	……那个，你知道自己
s02.adv:617	在说什么吗？
s02.adv:618	你真的没事吧？
s02.adv:620	不用这么担心我吧……
s02.adv:623	听好了，
s02.adv:624	我们发现的可是窃听器哦？
s02.adv:626	嗯……
s02.adv:628	如果直接说“找到了！”，
s02.adv:629	正在偷听的人会怎么想？
s02.adv:631	啊，我懂了。
s02.adv:632	对方知道暴露了，就会逃走吧？
s02.adv:635	也可能因此激怒对方，
s02.adv:636	让我们成为袭击目标。
s02.adv:637	……不管怎样，
s02.adv:638	对我们都没有好处。
s02.adv:640	啊，原来如此……
s02.adv:645	要是我们说“找到了”，
s02.adv:646	被犯人通过窃听器听见，
s02.adv:647	他就会逃走吧。
s02.adv:648	或者激怒犯人，
s02.adv:649	让他对我们
