s01.adv:97	大家好。
s01.adv:506	和红茶简直是绝配！
s01.adv:507	说得我又想吃了！
s01.adv:509	啊，口水都要流出来了……
s01.adv:511	总之呢，
s01.adv:512	工作方面还挺顺利的。
s01.adv:529	……咦？矢、矢口小姐！
s01.adv:531	怎、怎么啦！？
s01.adv:533	你的刘海……
s01.adv:536	这是时尚！我故意剪成这样的！
s01.adv:537	真是的，你也该明白了吧！
s01.adv:539	不知怎么，总觉得这种时候，
s01.adv:540	不说一句就不对劲……
s01.adv:542	这是什么话呀。
s01.adv:547	不行，现在还不能再补一刀。
s01.adv:548	等围观的人多一点再说吧。
s01.adv:557	矢口小姐，你说一会儿要出门，
s01.adv:558	难道是去……
s01.adv:560	嗯？
s01.adv:568	逛街买东西吗？
s01.adv:570	咦？为什么这么说！？
s01.adv:571	谁会带着这么[bw]大一件行李[/bw]，
s01.adv:572	跑去逛街啊！
s01.adv:574	啊，说得也是……
s01.adv:579	去上英语会话课吗？
s01.adv:581	什么跟什么啊！？
s01.adv:582	我倒想知道，
s01.adv:583	你这推理是怎么得出来的！
s01.adv:585	啊，不，说来惭愧，
s01.adv:586	我其实就是随口猜的……
s01.adv:590	[生王]先生，你好歹也在见习当侦探助手，
s01.adv:591	观察力却还差得远呢！
s01.adv:592	这样下去，[伊綱]可有得辛苦了！
