s03.adv:47	……哎呀，真是帮大忙了。
s03.adv:242	而案发当天，有人好几次，
s03.adv:243	在现场附近见到一个人，
s03.adv:244	外貌和照片里的男子完全一致。
s03.adv:246	原来如此。
s03.adv:247	那现在查清楚，
s03.adv:248	嫌疑人的身份了吗？
s03.adv:250	这个嘛，还没有……
s03.adv:251	不过，他应该不是
s03.adv:252	和被害女性关系密切的人。
s03.adv:253	我们给她的亲友看过照片，
s03.adv:254	所有人都说，
s03.adv:255	对这个人没有印象。
s03.adv:258	嗯，也难怪。
s03.adv:259	如果是被害人认识的人，
s03.adv:260	她向警察报案时，
s03.adv:261	就不用特意拿照片来说明了。
s03.adv:263	啊，也对。
s03.adv:264	如果认识对方，
s03.adv:265	直接报出名字就行了。
s03.adv:266	……这么说，是个和被害人
s03.adv:267	毫无关系的人，
s03.adv:268	在跟踪她？
s03.adv:271	看来也确实有这种情况……
s03.adv:273	唔。
s03.adv:274	难道是在街上看到她，就喜欢上了？
s03.adv:275	……他的动机倒是让人在意啊。
s03.adv:281	不过……案件发生在东京都内，
s03.adv:282	怎么会交给[鞠浜]警署的你调查？
s03.adv:284	这个嘛，里面，
s03.adv:285	有些缘由。
s03.adv:287	是因为案件关系人在[鞠浜]吗？
s03.adv:289	嗯，差不多是这样。
s03.adv:291	啊，需要保密是吧。
s03.adv:293	是的，不好意思。
s03.adv:294	现在还不太方便说……
s03.adv:295	啊，不过，要是调查再没进展，
s03.adv:296	我本来就打算，
s03.adv:297	去找[伊綱]小姐你们商量！
s03.adv:299	不不不。
s03.adv:300	一开始就这么打算，不太好吧。
s03.adv:303	刑警！音成刑警！
s03.adv:304	[狭稲]警署来电话了！
s03.adv:306	哦，消息来了！
s03.adv:309	是不是太快了点？
s03.adv:310	但愿没出什么事……
s03.adv:312	你们看，电话来了哦！
s03.adv:314	我们知道啦！
s03.adv:315	你快去接吧！
s03.adv:317	那我去确认一下。
s03.adv:329	听完刚才那些事，
s03.adv:330	我越发担心，
s03.adv:331	矢口小姐会不会有危险了……
s03.adv:334	是啊……
s03.adv:335	不过，如果犯人是在附近接收信号，
s03.adv:336	听到我们在她房间里的……
s03.adv:337	那他要赶到[狭稲]市，
s03.adv:338	应该还需要一些时间。
s03.adv:340	话是这么说……
s03.adv:341	……嗯？咦？
s03.adv:344	怎么了？
s03.adv:346	对了，刚才那份传真的内容，
s03.adv:347	你还记得吧？
s03.adv:349	嗯，当然。
s03.adv:350	我想想……
s03.adv:359	[Font color="0x99ffCC" edge_color="0x666699"]蹩脚侦探们，辛苦啦。
s03.adv:360	不过，我早就知道，
s03.adv:361	小床子去了狭稻温泉哦。
s03.adv:362	我已经快到那儿了，
s03.adv:363	你们就乖乖待在那里吧♪[/Font]
s03.adv:382	……就是这些。
s03.adv:384	唔……既然只有在这附近，
s03.adv:385	才能接收到窃听的声音……
s03.adv:386	那果然还是不对劲吧？
s03.adv:388	哪里不对劲？
s03.adv:390	不，话说回来……
s03.adv:402	……他为什么会知道，
s03.adv:403	我们是侦探呢？
s03.adv:405	因为听见我们进了房间，
s03.adv:406	还在寻找窃听器吧？
s03.adv:408	可是，这也不能说明，
s03.adv:409	我们一定是侦探啊。
s03.adv:411	就算职业不是侦探，
s03.adv:412	做的也是侦探的工作，
s03.adv:413	所以他才故意这么讽刺我们吧。
s03.adv:414	……不管怎样，怎么称呼我们，
s03.adv:415	应该不是什么大问题。
s03.adv:417	话是这么说……
s03.adv:423	……他为什么觉得我们会，
s03.adv:424	乖乖待在那个房间里？
s03.adv:426	和房间无关，他是想让警察，
s03.adv:427	对我们进行问话，借此拖住我们，
s03.adv:428	为自己争取时间。
s03.adv:431	啊，原来是这个意思。
s03.adv:437	……他怎么会知道，
s03.adv:438	矢口小姐去了
s03.adv:439	狭稻温泉呢？
s03.adv:441	因为他之前就一直在窃听吧？
s03.adv:444	嗯，也是。
s03.adv:449	真是的。
s03.adv:450	你到底想说什么呀？
s03.adv:452	啊，不，我不是这个意思，
s03.adv:453	我是说……
s03.adv:459	犯人今天为什么，
s03.adv:460	还要特意留在这里窃听呢？
s03.adv:463	……咦？
s03.adv:464	啊！对啊！
s03.adv:466	今天矢口小姐要去狭稻温泉，
s03.adv:467	家里根本没人……
s03.adv:468	犯人早就知道这件事，对吧？
s03.adv:470	是啊。
s03.adv:471	既然如此，还特意留在这里偷听，
s03.adv:472	根本没有意义啊。
s03.adv:474	既然他在跟踪矢口小姐，
s03.adv:475	提前去狭稻温泉等她，
s03.adv:476	反倒更合理……
s03.adv:477	……他为什么还在听？
s03.adv:479	这是怎么回事呢……
s03.adv:483	[伊綱]小姐！！[生王]先生！！
s03.adv:486	啊，音成刑警正朝这边跑过来，
s03.adv:487	脸色很不对劲。
s03.adv:491	出、出大事了！
s03.adv:492	听说在[神名備]亭那家旅馆附近，
s03.adv:493	发现了[bw]一具女尸[/bw]！！[pp_j]
s03.adv:495	什……！？
s03.adv:498	女尸……！？
s03.adv:499	还不知道死者是谁吗？
s03.adv:501	据说还在勘验，身份尚不清楚，
s03.adv:502	只知道是个年轻女性……
s03.adv:503	难、难道……矢口小姐……！？
s03.adv:505	不、不可能，不可能！
s03.adv:506	这么短的时间，
s03.adv:507	犯人应该来不及赶到那里……
s03.adv:509	在这里说下去也没用！
s03.adv:510	总之，我们赶紧过去！！
s03.adv:514	啊，等等！
s03.adv:516	我会联系，
s03.adv:517	辖区内负责的刑警！
s03.adv:518	[生王]先生，你也快去！
s03.adv:520	啊，好！
s03.adv:521	谢谢，我这就去确认情况！
