s01.adv:594	呜，说得可真不留情面……
s01.adv:691	我们换个话题吧。
s01.adv:692	呃……
s01.adv:708	不好意思！
s01.adv:709	我回来啦！
s01.adv:711	哦，回来了。
s01.adv:714	看来是呢。
s01.adv:715	嘿咻。
s01.adv:719	[伊綱]，你回来啦。
s01.adv:723	对不起，矢口小姐。
s01.adv:724	没能追回点心！
s01.adv:725	我真是太大意了！
s01.adv:729	咦？这不是[生王]先生吗？
s01.adv:730	你来干什么？
s01.adv:733	呃，为了我们的互惠互利……
s01.adv:736	算了，这不重要。
s01.adv:746	她叫[bw][白鷺洲][伊綱][/bw]。
s01.adv:747	是在这家侦探事务所工作的侦探助手。
s01.adv:748	虽说是助手，却是位十分优秀的侦探，
s01.adv:749	迄今为止，已经协助破获了
s01.adv:750	许多案件。
s01.adv:757	[伊綱]，你去哪儿了？
s01.adv:758	出什么事了吗？
s01.adv:762	说起这个，你们听我说啊！
s01.adv:763	难得矢口小姐过来，
s01.adv:764	我正想拿出前几天收到的[bw]特别茶点[/bw]，
s01.adv:765	请她尝尝……
s01.adv:766	结果，我放在冰箱里的点心，
s01.adv:767	竟然消失得干干净净！
s01.adv:768	一个都不剩！
s01.adv:771	哎呀，那可糟了！
s01.adv:774	一定是刚出门的老师
s01.adv:775	把它们给拿走了，
s01.adv:776	于是我赶紧追了出去……
s01.adv:779	原来如此。
s01.adv:780	结果还是让他跑了啊。
s01.adv:783	要你多嘴。
s01.adv:789	特别的茶点啊。
s01.adv:790	还挺让人在意的。真可惜。
s01.adv:793	真的，是很少能买到的
s01.adv:794	稀罕点心。
s01.adv:795	我自己都舍不得马上吃，
s01.adv:796	一直等着合适的机会呢。
s01.adv:797	啊，真是气死我了……！！
s01.adv:800	原来[癸生川]也盯上它了……
s01.adv:804	是我太天真了。
s01.adv:805	哪怕藏得再严实，
s01.adv:806	老师也能闻出来，真是一点都不能大意。
s01.adv:809	果然，大家都把他说得
s01.adv:810	像蟑螂一样啊……
s01.adv:876	哪怕受到冷遇，
s01.adv:877	有[伊綱]在，才让我真切地觉得，
s01.adv:878	自己又来到了这间事务所。
s01.adv:883	就像暴风雨刚过，
s01.adv:884	空气中弥漫着一种奇妙的寂静……
s01.adv:931	也许是我的错觉，
s01.adv:932	自从伊纲回来之后，
s01.adv:933	她的笑容似乎淡了一些……
s01.adv:943	她还是和平时一样，
s01.adv:944	一副若无其事的样子。
s01.adv:950	干什么，
s01.adv:951	一直盯着人家看。
s01.adv:953	没，没什么……
s01.adv:955	再看下去，她可真要生气了。
s01.adv:956	还是算了吧……
s01.adv:962	还是算了吧……
s01.adv:981	[伊綱]，你最近怎么样？
s01.adv:984	你这问题问得也太敷衍了吧。
s01.adv:986	就是啊，这种问法，
s01.adv:987	可没法让人打开话匣子呢。
s01.adv:989	呜……
s01.adv:992	嗯，怎么说呢。
s01.adv:993	手头的调查终于告一段落，
s01.adv:994	现在正在整理资料。
s01.adv:996	啊，已经结束了啊……
s01.adv:999	让你失望了呢。
s01.adv:1006	最近音成刑警也没来，
s01.adv:1007	我们离杀人案之类的麻烦事远远的，
s01.adv:1008	这可是好事。
s01.adv:1019	[癸生川]去哪儿了？
s01.adv:1022	我要是知道，就不用这么辛苦了。
s01.adv:1023	刚才我一路打听到车站那边，
s01.adv:1024	完全没有线索。
s01.adv:1026	这么短的时间，你都查到那儿了！？
s01.adv:1027	不愧是你，行动力真强。
s01.adv:1029	不过，[癸生川]还是老样子，
s01.adv:1030	总是让人摸不着头脑。
s01.adv:1032	偏偏他偶尔又会在背地里，
s01.adv:1033	悄悄进行一些特别重要的调查，
s01.adv:1034	真拿他没办法。
s01.adv:1036	是啊……
s01.adv:1038	看来你也不容易啊。
s01.adv:1043	不过，我想过一阵子，
s01.adv:1044	他就会自己冒出来的。
s01.adv:1049	吓我一跳。
s01.adv:1050	他还真是神出鬼没啊……
s01.adv:1052	总觉得……该替他道个歉。
s01.adv:1062	对了，矢口小姐，
s01.adv:1063	你刚才不是说有事想找我商量吗？
s01.adv:1064	我听着呢。
s01.adv:1066	找伊纲商量？
s01.adv:1068	啊，对，嗯。
s01.adv:1069	其实，是这么回事……
s01.adv:1072	啊，要是[生王]先生在场不方便说，
s01.adv:1073	我马上把他赶回去。
s01.adv:1075	呃……
s01.adv:1077	啊，不用不用，没关系。
s01.adv:1078	我也想听听男人的意见。
s01.adv:1079	……就是，那个，
s01.adv:1080	也许从头到尾，
s01.adv:1081	都是我自己想多了。
s01.adv:1084	嗯。
s01.adv:1086	最近，我总觉得自己被[nw]跟踪狂[/nw]
s01.adv:1087	给盯上了……
s01.adv:1090	跟踪狂！？
s01.adv:1091	这可不是小事。
s01.adv:1092	请详细说说。
s01.adv:1094	嗯。
s01.adv:1100	所以，你刚才才会
s01.adv:1101	显得有些不安啊。
s01.adv:1103	哎呀，被你看出来了？
s01.adv:1104	嗯……是有一点。
s01.adv:1114	对了，那是什么茶点呀？
s01.adv:1115	我好好奇！
s01.adv:1118	啊，不过矢口小姐，
s01.adv:1119	你应该知道吧？
s01.adv:1120	就是[狭稲]温泉乡的新招牌[bw]生大福[/bw]。[pp_j]
s01.adv:1122	哎呀！
s01.adv:1124	哦！
s01.adv:1127	嗯？
s01.adv:1128	你们这是什么反应？
s01.adv:1134	[伊綱]，
s01.adv:1135	其实呢，说起那个生大福……
s01.adv:1137	嗯？
s01.adv:1145	……就是这么回事！
s01.adv:1147	哇！原来是这样！
s01.adv:1148	我刚才还想拿它炫耀一番，
s01.adv:1149	真是太丢人了！
s01.adv:1150	……咦？可是……
s01.adv:1154	那篇文章我应该也看过，
s01.adv:1155	可我记得作者的名字，
s01.adv:1156	好像不是矢口小姐啊……？
s01.adv:1158	咦？是吗？
s01.adv:1160	……嗯，这里面有些缘由啦。
s01.adv:1161	干我们这行，打交道的人多了，
s01.adv:1162	难免会碰上些容易得罪人的事……对吧？
s01.adv:1165	啊，原来如此。
s01.adv:1166	所以你是用另一个名字写的啊。
s01.adv:1168	嗯，就是这么回事。
s01.adv:1170	啊，原来你还会用别的名字写文章……
s01.adv:1176	不过，要是那个大福，
s01.adv:1177	你拿多少出来我都欢迎。
s01.adv:1178	本来还想再吃一次，真可惜。
s01.adv:1181	就是啊。
s01.adv:1195	啊，不过呢，我也没真的
s01.adv:1196	遭遇什么，只是隐隐觉得
s01.adv:1197	有那么回事……
s01.adv:1200	但总归是发生了什么，
s01.adv:1201	让你起了疑心吧？
s01.adv:1203	嗯……
s01.adv:1204	最近，我总觉得，
s01.adv:1205	好像有人跟在我后面……
s01.adv:1206	还有，我家的信箱，
s01.adv:1207	好像也被人翻过……之类的。
s01.adv:1208	不过，这些都只是我的感觉，
s01.adv:1209	并没有发生什么
s01.adv:1210	确切的损害。
s01.adv:1212	原来如此……
s01.adv:1213	可就算只是怀疑，也已经够吓人的了。
