s04.adv:68	这是台词测试啊啊啊啊啊啊啊。
s04.adv:433	去看看吧。
s04.adv:439	停车场里的车，包括矢口小姐的车，
s04.adv:440	以及黄色厢式车在内，一共有七辆。
s04.adv:442	不过，这不代表旅馆里，
s04.adv:443	就一定有七组客人吧。
s04.adv:445	现在山上到底有多少人，
s04.adv:446	还不能确定。
s04.adv:456	狭稻温泉乡的象征久峰山，
s04.adv:457	由好几座相连的山峰构成，
s04.adv:458	[柄名山]就是其中之一。
s04.adv:459	海拔621米，并不算高，
s04.adv:460	不过，西侧面朝大海，
s04.adv:461	景色似乎很棒。
s04.adv:463	原来如此。
s04.adv:464	是个不太出名的观光胜地啊。
s04.adv:466	[神名備]亭就建在半山腰，
s04.adv:467	它附近似乎还有一个，
s04.adv:468	对所有人开放的[bw]观景台[/bw]。
s04.adv:469	为了欣赏观景台的风景，
s04.adv:470	来[柄名山]的人也不少。
s04.adv:472	也是，要是只有旅馆住客才来，
s04.adv:473	专门建这么一条缆车线路，
s04.adv:474	就太浪费了。
s04.adv:479	山里也没怎么开发，
s04.adv:480	自然环境保留得很好。
s04.adv:481	爬山似乎也不太吃力，
s04.adv:482	所以不少人会来这里，
s04.adv:483	一边远足，一边欣赏山景。
s04.adv:491	是矢口小姐一直开的那辆车。
s04.adv:492	我确认过车牌，
s04.adv:493	不会有错。
s04.adv:494	这是款以省油著称的，
s04.adv:495	很常见的小型车，
s04.adv:496	不过，红色的车身相当显眼。
s04.adv:498	嗯，怎么说呢，
s04.adv:499	真是很有矢口小姐风格的车。
s04.adv:504	矢口小姐……
s04.adv:505	应该没事吧……
s04.adv:515	后面的车窗玻璃上，
s04.adv:516	贴着黑色的膜。
s04.adv:517	和目击者的说法一致……
s04.adv:519	假设这辆车真的
s04.adv:520	属于那个跟踪狂……
s04.adv:521	他当时还在南品方，
s04.adv:522	能在这个时间开车赶到这里吗？
s04.adv:524	不好说……
s04.adv:525	我们是坐电车来的，
s04.adv:526	开车的话，恐怕很难赶上吧。
s04.adv:528	不过，跟踪矢口小姐的犯人，
s04.adv:529	也有可能在山上，
s04.adv:530	犯下了杀人案吧……？
s04.adv:532	不，这是不可能的。
s04.adv:533	尸体被发现的时候，
s04.adv:534	我们离开房间还不到二十分钟。
s04.adv:536	对啊，说得也是。
s04.adv:537	如果当时还在南品方窃听，
s04.adv:538	就不可能这么快赶到这里。
s04.adv:540	更何况，如果他把车停在这里，
s04.adv:541	又坐缆车上山，
s04.adv:542	那就得在管制开始之前抵达。
s04.adv:544	那确实不可能……
s04.adv:545	就算跟踪事件和这辆厢式车，
s04.adv:546	没有关系……[ll]窃听和杀人，
s04.adv:547	在时间上也没法联系起来啊……
s04.adv:549	是的。
s04.adv:550	当然，前提是，
s04.adv:551	只有一名犯人……
s04.adv:553	那这些事，
s04.adv:554	都只是巧合？
s04.adv:555	在矢口小姐住的公寓附近，
s04.adv:556	以及她旅行的目的地，都出现了，
s04.adv:557	可疑的黄色厢式车……
s04.adv:558	她房间里被装了窃听器，
s04.adv:559	犯人还发来了那份声明……
s04.adv:560	而她入住的旅馆附近，
s04.adv:561	又发现了一具尸体……
s04.adv:563	是啊。
s04.adv:564	她身边发生了这么多事，
s04.adv:565	真的能全用巧合来解释吗……
s04.adv:567	究竟是怎么回事……
s04.adv:573	这是不是跟踪狂的车，
s04.adv:574	真想先确认清楚。
s04.adv:585	虽然想尽快去[神名備]亭，
s04.adv:586	可通往[柄名山]的道路，
s04.adv:587	全都被封锁了……
s04.adv:589	林居先生刚才说，
s04.adv:590	他会帮忙打招呼，
s04.adv:591	让我们再等一会儿……
s04.adv:594	没办法啊……
s04.adv:595	先调查一下，
s04.adv:596	这附近的情况吧。
s04.adv:601	在林居先生回电之前，
s04.adv:602	我们再调查一下，
s04.adv:603	这附近的情况吧。
s04.adv:608	[東浜]刑警到底在哪儿呢？
s04.adv:615	……啊，来电话了。
s04.adv:617	是林居先生！
s04.adv:618	……喂！？
s04.adv:627	……啊，[生王]先生吗！？
